Word,Definition
the,used to refer to something already mentioned
be,To exist; to be alive; used to give information about someone or something
and,used to refer to two or more things
of,belonging to or connected with something
to,move towards; in the direction of
a,one (of something)
in,being inside something
have,to own-- possess-- or hold something
it,a thing that has been previously mentioned
you,person someone is speaking or writing to
he,object form of a male person you are talking about
for,used to show the purpose-- or need of something
they,used to refer to two or more people-- animals-- or things
not,word indicating the negative of verbs-- adjectives-- etc.
that,used to show which person or thing we are talking about
we,used to refer to the speaker and other people together
on,located on the surface of something (e.g.-- a table or wall)
with,used to express that people or things are together
this,person-- thing-- or idea near you
I,the person who is speaking or writing
do,to act; to perform actions
as,a word used to compare two equal things
at,in the place where something is
she,female person or animal mentioned before
but,used before you say something different-- opposite
from,starting at a particular place-- time-- or level
by,near; with
will,used with verbs to express the future
or,used to link alternatives-- to introduce another choice
say,to use words to tell a message
go,to move or travel to another place
so,for that reason
all,completely; totally
if,introducing a condition for something to happen
one,number 1
would,modal verb used to indicate possibility-- request-- etc.
about,of (a subject); concerning
can,to be able to; have the skill to; have the time to
which,question word to ask about a person's choice
there,in that place or position-- at that location
know,to have knowledge of things in your mind
more,greater in amount-- number-- or size
get,to obtain-- receive-- or be given something
who,what or which person or people-- to ask about-- talking about
like,to find something pleasing; to prefer something
when,word you use to ask about the time or day
think,to have an idea-- opinion-- or belief about something
make,to create something by putting things together
time,something measured in minutes-- hours-- days-- etc.
see,to use your eyes to look at something
what,asking for information about someone or something
up,move higher; raise
some,used to refer to a person or thing that is not known
other,something else; not the first one
out,away from the inside or center
good,excellent; high quality
people,human beings in general; plural of person
year,unit of time equal to 12 months
take,to pick up something and go away with it
no,being none; not having or being
well,in a good way
because,for a reason
very,much; great in amount
just,only; a short time ago
come,to move toward someone; go with someone
could,used as the past form of can-- to show possibility
work,activity you do in order to make money
use,to do something with-- for a task or purpose
than,used when comparing two things
now,at the present time or moment
then,at that time not now
also,in addition; too; in a similar way
into,going inside something
only,just one; just that amount or thing; not more than
look,to turn your eyes in a particular direction
want,to desire or wish for something; hope for a thing
give,to hand over or present something to someone
first,coming before all others in time or place
new,not old-- recently born-- built-- or made
way,how something is done
find,to discover something by looking for it
over,above; across; more than; on the other side
any,one (thing) of many; some (thing)
after,later than another time-- or behind something
day,a period of 24 hours
where,word you use to ask the location of something
thing,something you cannot remember the name of
most,nearly all of something
should,used to indicate what is proper or reasonable
need,to be unable to manage without something; require
much,a lot; large amount; a high degree of
right,on side where the hand that most people write with
how,in what way something happens or is done
back,the place you were before
mean,to have a particular meaning or value
even,as well; too
may,used to talk about what is possible
here,in-- at-- or to this position or place
many,used to refer to a large number of things
such,like or similar
last,the one before
child,a very young person-- between about 2 and 15
tell,to say or communicate information to someone
really,very
call,to phone someone
before,at a time earlier than the present; previously
company,a business that sells things or provides services
through,from one end or side of something to the other end or side
down,going from a higher position to a lower position
show,to explain or teach how something is done
life,all the living things (e.g.-- animals-- plants-- humans)
man,an adult male human being
change,to make or become different-- or into something else
place,to put something in a certain location or position
long,large distance from one end to the other
between,in the space that separates two objects
feel,to be aware of or experience an emotion or sensation
too,say that something is more than you want
still,continuing to be the same as before
problem,something difficult to deal with or causes trouble
write,to make letters and words on paper or a screen
same,identical; not different
lot,a group of people or things considered together
great,very good; fantastic; wonderful
try,to make an effort-- to attempt to do something
leave,to go away from; depart
number,symbols such as 1-- 2-- 56-- 793
both,used to refer to two things at the same time
own,yours-- his-- hers-- etc.; not belonging to another
part,some-- but not all of a specific thing
point,to indicate something with your finger to others
little,not great in size-- amount-- or degree; small
help,to act to enable a person to do something; assist
ask,to say to someone that you want something
meet,to come together at a certain time or place
start,first time or place that a thing exists; beginning
talk,to say things or ideas to someone with words
something,thing that is not yet known or named
put,to move or place a thing in a particular position
another,one more (thing); additional (thing)
become,to begin to be; grow to be; develop into
interest,to make someone want to know about something
country,an area of land that is controlled by a government
old,having existed for a long time-- not young or new
each,every one of two or more things
school,building where you learn in classes with a teacher
late,happening near the end of a given time
high,rising upward a great distance
different,not of the same kind; unlike other things
off,not having on; not wearing
next,immediately after the previous one
end,a point that marks the limit of something; finish
live,to be alive
why,for what reason or purpose
while,during the time that; at the same time
world,all the humans-- events-- activities on the earth
week,period of seven days-- starts on Sunday and end on Saturday
play,to do or perform a game or sport
might,used to express that something could happen
must,used to say that something is required or necessary
home,place where a person or a family lives
never,not ever; not at any time
include,to make someone/something part of a group
course,route or direction that a river-- etc.-- moves along
house,building in which a family-- person lives
report,account of something which gives the necessary facts and information
group,number of people or things gathered together
case,example or instance of something
woman,adult female human being
around,located on every side-- or along something
book,thing made of pages with writing on that you read
family,a group of people who are related through blood
seem,to appear to be something
let,to not stop someone from doing something
again,one more time-- once more
kind,one type of thing
keep,to have and continue to hold something
hear,to be aware of sound; to perceive with the ear
system,set of organized-- planned ideas that work together
every,including each person or thing in a group
question,to ask for or try to get information
during,at some point in the course of an event or thing
always,at all times; in every situation
big,large
set,complete group of something (e.g.-- a chess set)
small,little in size; not big
study,to focus on learning something usually at school
follow,to come after someone; be guided by someone
begin,to do the first part of an action; to start
important,having a big effect on (person-- the future)
since,from the time in the past that
run,to move your legs faster than walking
under,in the same place as another thing-- but lower
turn,to change the direction of something (e.g.-- a car)
few,not many; small in number
bring,to take or go with someone to a place
early,happening sooner than expected
hand,body part at the end of a person's arm
state,region within a country-- with its own government
move,to cause something to change to a different place
money,coins or notes we use to pay for things
fact,something that is known or proved to be true
however,used when you add information that is different from a previous statement
area,a specific section or space; part of a region
provide,to make available; to supply for use
name,what something or someone is called
read,to look at and comprehend the meaning some writing
friend,person who you like and enjoy being with
month,one of 12 time periods that make a year-- each from 28 to 31 days long
large,big; of great size; broad-- tall-- wide-- long-- or fat
business,a company formed for making profit
without,used to say you don't have something or it isn't in a place
information,collection of facts and details about something
open,not closed or shut
order,to ask for something you want to buy (e.g.-- a meal)
government,group of people and system which rule a nation
word,unit of language that has a meaning
issue,important topic discussed-- debated-- or argued over
market,public event where people sell goods on tables
pay,to give money for goods or work done
build,to make (e.g.-- a house-- by putting materials together)
