#separator:comma
#html:true
#notetype column:1
#deck column:2
#tags column:5
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::s}}</b> :: Go Nth characters to the <b>left</b>.,h,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::b}}</b> :: Go Nth characters to the <b>right</b>.,l,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::0}}</b> :: Go to the <b>first character</b> in the line.,,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::^}}</b> :: Go to the <b>first non-blank character</b> in the line.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::$}}</b> :: Go to the <b>last character</b> in the line. N-1 lines lower.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::g_}}</b> :: Go to the <b>last non-blank character</b> in the line and [count - 1] lines downward.,,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::g0}}</b> :: Go to <b>first character</b> in screen line. Differs from "0" when lines wrap.,,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::g^}}</b> :: Go to <b>first non-blank character</b> in screen line. Differs from "^" when lines wrap.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::g$}}</b> :: Go to <b>last character</b> of the screen line  and [count -1] screen lines downward. Differs from "$" when lines wrap.,,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::gm}}</b> :: Go to <b>middle</b> of the <b>screen line</b>.,,vim left-right motions
bash type,0-currents-using::vim-wip2,<b>{{c1::gM}}</b> :: Go to <b>middle</b> of the <b>line</b>.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::|}}</b> :: Go to <b>screen column</b> [count] in the current line. exclusive motion. Default: 1.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::fx}}</b> :: Go to the Nth occurrence of {x} to the <b>right</b>.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::Fx}}</b> :: Go to the Nth occurrence of {x} to the <b>left</b>.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::jx}}</b> :: Go <b>till before</b> the Nth occurrence of {x} to the <b>right</b>.,tx,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::Jx}}</b> :: Go <b>till before</b> the Nth occurrence of {x} to the <b>left</b>.,Tx,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::;}}</b> :: repeat the last "f"&comma; "F"&comma; "t"&comma; or "T" N times.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::&comma;}}</b> :: repeat the last "f"&comma; "F"&comma; "t"&comma; or "T" N times in <b>opposite direction</b>.,,vim left-right motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::n}}</b> :: Go Nth lines <b>upward</b>.,k,vim up-down motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::t}}</b> :: Go Nth lines <b>downward</b>.,j,vim up-down motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::-}}</b> :: Go Nth lines <b>upward</b>&comma; on the <b>first non-blank character</b>.,,vim up-down motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::+}}</b> :: Go Nth lines <b>downward</b>&comma; on the <b>first non-blank character</b>.,,vim up-down motions
bash type,0-current-using::vim-wip2,<i>N</i> <b>{{c1::_}}</b> :: Go Nth - 1 lines <b>downward</b>&comma; on the <b>first non-blank character</b>.,,vim up-down motions
