Pronunciation        Tags
/ðiː/                english words ngsl
/biː/                english words ngsl
/ænd/                english words ngsl
/ɑv/                 english words ngsl
/tu/                 english words ngsl
/ɛɪ/                 english words ngsl
/ɪn/                 english words ngsl
/hæv/                english words ngsl
/ɪt/                 english words ngsl
/ju/                 english words ngsl
/hiː/                english words ngsl
/foɚ/                english words ngsl
/ðɛɪ/                english words ngsl
/nɑt/                english words ngsl
/ðæt/                english words ngsl
/wiː/                english words ngsl
/ɑn/                 english words ngsl
/wɪð/                english words ngsl
/ðɪs/                english words ngsl
/aɪ/                 english words ngsl
/du/                 english words ngsl
/æs/                 english words ngsl
/æt/                 english words ngsl
/ʃiː/                english words ngsl
/bʌt/                english words ngsl
/frɑm/               english words ngsl
/baɪ/                english words ngsl
/wɪl/                english words ngsl
/oɚ/                 english words ngsl
/sɛɪ/                english words ngsl
/goʊ/                english words ngsl
/soʊ/                english words ngsl
/oɚl/                english words ngsl
/ɪf/                 english words ngsl
/wʌn/                english words ngsl
/wʊd/                english words ngsl
/ə•baʊt/             english words ngsl
/kæn/                english words ngsl
/wɪtʃ/               english words ngsl
/ðɛɚ/                english words ngsl
/noʊ/                english words ngsl
/moɚ/                english words ngsl
/gɛt/                english words ngsl
/hu/                 english words ngsl
/laɪk/               english words ngsl
/wɛn/                english words ngsl
/θɪŋk/               english words ngsl
/mɛɪk/               english words ngsl
/taɪm/               english words ngsl
/siː/                english words ngsl
/wɑt/                english words ngsl
/ʌp/                 english words ngsl
/sʌm/                english words ngsl
/ʌ•ðə/               english words ngsl
/aʊt/                english words ngsl
/gʊd/                english words ngsl
/piː•pl/             english words ngsl
/jɚ/                 english words ngsl
/tɛɪk/               english words ngsl
/noʊ/                english words ngsl
/wɛl/                english words ngsl
/bɪ•kɑz/             english words ngsl
/vɛ•rɪ/              english words ngsl
/dʒʌst/              english words ngsl
/kʌm/                english words ngsl
/kʊd/                english words ngsl
/wɚk/                english words ngsl
/juz/                english words ngsl
/ðæn/                english words ngsl
/naʊ/                english words ngsl
/ðɛn/                english words ngsl
/oɚl•soʊ/            english words ngsl
/ɪn•tʊ/              english words ngsl
/oʊn•lɪ/             english words ngsl
/lʊk/                english words ngsl
/wɑnt/               english words ngsl
/gɪv/                english words ngsl
/fɚst/               english words ngsl
/nju/                english words ngsl
/wɛɪ/                english words ngsl
/faɪnd/              english words ngsl
/oʊ•və/              english words ngsl
/ɛ•nɪ/               english words ngsl
