Rank,PoS
1,det
2,verb
3,conj
4,prep
5,prep
6,det
7,prep
8,aux
9,pron
10,pron
11,pron
12,prep
13,pron
14,adv
15,pron
16,pron
17,prep
18,prep
19,pron
20,pron
21,verb
22,prep
23,prep
24,pron
25,conj
26,prep
27,prep
28,aux
29,conj
30,verb
31,verb
32,conj
33,adv
34,conj
35,num
36,aux
37,prep
38,aux
39,adj
40,adv
41,verb
42,adj
43,verb
44,pron
45,verb
46,noun
47,verb
48,verb
49,noun
50,verb
51,adv
52,prep
53,adj
54,adj
55,prep
56,adj
57,noun
58,noun
59,verb
60,adv
61,adj
62,conj
63,verb
64,adv
65,verb
66,verb
67,noun
68,verb
69,conj
70,adv
71,adv
72,adv
73,prep
74,adv
75,verb
76,verb
77,verb
78,adj
79,adj
80,noun
81,verb
82,prep
83,adj
84,adv
85,noun
86,noun
87,noun
88,pron
89,aux
90,verb
91,pron
92,adj
93,adv
94,noun
95,verb
96,adv
97,aux
98,adv
99,adj
100,adj
101,noun
102,noun
103,verb
104,adv
105,verb
106,adv
107,noun
108,adj
109,prep
110,verb
111,noun
112,noun
113,verb
114,verb
115,adj
116,prep
117,verb
118,adv
119,adv
120,noun
121,verb
122,det
123,noun
124,adj
125,verb
126,verb
127,noun
128,det
129,det
130,noun
131,verb
132,adj
133,verb
134,verb
135,verb
136,noun
137,verb
138,pron
139,verb
140,det
141,verb
142,verb
143,noun
144,adj
145,det
146,noun
147,adj
148,adj
149,adj
150,adj
151,adj
152,noun
153,verb
154,adv
155,conj
156,noun
157,noun
158,verb
159,aux
160,aux
161,noun
162,adv
163,verb
164,noun
165,noun
166,noun
167,noun
168,noun
169,noun
170,adv
171,noun
172,noun
173,verb
174,verb
175,adv
176,noun
177,verb
178,verb
179,noun
180,det
181,verb
182,prep
183,adv
184,adj
185,noun
186,adj
187,verb
188,verb
189,verb
190,adj
191,prep
192,verb
193,adj
194,verb
195,adj
196,verb
197,adj
198,noun
199,noun
200,verb
201,noun
202,noun
203,conj
204,noun
205,verb
206,noun
207,verb
208,noun
209,noun
210,adj
211,noun
212,prep
213,noun
214,adj
215,verb
216,noun
217,noun
218,noun
219,noun
220,verb
221,verb
222,verb
223,verb
224,prep
225,verb
226,adj
227,adv
228,intj
229,verb
230,verb
231,noun
232,verb
233,verb
234,adv
235,noun
236,verb
237,verb
238,adj
239,adv
240,noun
241,verb
242,verb
243,verb
244,verb
245,adj
246,adv
247,noun
248,noun
249,noun
250,noun
251,noun
252,noun
253,adj
254,noun
255,conj
256,noun
257,noun
258,verb
259,noun
260,noun
261,verb
262,verb
263,noun
264,noun
265,adv
266,noun
267,adj
268,adj
269,noun
270,noun
271,adj
272,verb
273,conj
274,noun
275,noun
276,noun
277,adv
278,conj
279,adj
280,noun
281,adv
282,noun
283,adj
284,verb
285,adv
286,verb
287,adj
288,adv
289,noun
290,adj
291,adv
292,adv
293,noun
294,adv
295,verb
296,verb
297,noun
298,adj
299,noun
300,adj
301,verb
302,adv
303,noun
304,noun
305,verb
306,noun
307,adv
308,verb
309,verb
310,adj
311,adv
312,noun
313,verb
314,verb
315,noun
316,noun
317,adv
318,noun
319,verb
320,noun
321,verb
322,noun
323,verb
324,verb
325,adv
326,verb
327,noun
328,adv
329,verb
330,noun
331,noun
332,noun
333,verb
334,noun
335,verb
336,pron
337,verb
338,noun
339,verb
340,noun
341,noun
342,verb
343,noun
344,noun
345,verb
346,verb
347,verb
348,det
349,adj
350,verb
351,verb
352,noun
353,noun
354,adj
355,noun
356,verb
357,verb
358,noun
359,verb
360,noun
361,noun
362,noun
363,noun
364,noun
365,noun
366,noun
367,noun
368,verb
369,adj
370,noun
371,adj
372,adv
373,prep
374,verb
375,noun
376,prep
377,verb
378,noun
379,verb
380,verb
381,adj
382,noun
383,adv
384,verb
385,noun
386,verb
387,verb
388,prep
389,noun
390,noun
391,noun
392,noun
393,noun
394,adj
395,adj
396,verb
397,noun
398,noun
399,noun
400,adj
401,noun
402,verb
403,verb
404,adj
405,verb
406,adv
407,noun
408,adj
409,noun
410,adj
411,adj
412,verb
413,adv
414,verb
415,noun
416,verb
417,verb
418,verb
419,noun
420,verb
421,noun
422,pron
423,verb
424,noun
425,noun
426,noun
427,adj
428,noun
429,noun
430,noun
431,noun
432,noun
433,noun
434,noun
435,noun
436,noun
437,noun
438,adj
439,pron
440,adv
441,verb
442,noun
443,adj
444,adv
445,noun
446,verb
447,verb
448,noun
449,noun
450,noun
451,adj
452,adv
453,adj
454,verb
455,noun
456,verb
457,verb
458,pron
459,adj
460,adv
461,adj
462,verb
463,noun
464,adv
465,noun
466,adv
467,adj
468,noun
469,verb
470,adj
471,adv
472,noun
473,noun
474,noun
475,noun
476,verb
477,noun
478,adv
479,verb
480,pron
481,verb
482,adj
483,noun
484,verb
485,adj
486,verb
487,noun
488,adj
489,verb
490,noun
491,noun
492,adv
493,adj
494,noun
495,verb
496,noun
497,noun
498,verb
499,adv
500,noun
501,verb
502,noun
503,verb
504,verb
505,noun
506,adj
507,noun
508,verb
509,noun
510,noun
511,verb
512,noun
513,adj
514,noun
515,verb
516,noun
517,noun
518,noun
519,adj
520,noun
521,noun
522,noun
523,noun
524,verb
525,adv
526,verb
527,noun
528,noun
529,noun
530,noun
531,noun
532,verb
533,verb
534,verb
535,adj
536,adv
537,adj
538,pron
539,verb
540,noun
541,noun
542,noun
543,noun
544,verb
545,verb
546,noun
547,adj
548,verb
549,noun
550,noun
551,noun
552,noun
553,adv
554,verb
555,adv
556,noun
557,adj
558,noun
559,noun
560,noun
561,verb
562,noun
563,noun
564,verb
565,noun
566,verb
567,adj
568,noun
569,noun
570,verb
571,noun
572,noun
573,verb
574,adj
575,adj
576,noun
577,noun
578,noun
579,prep
580,verb
581,verb
582,verb
583,verb
584,verb
585,adj
586,verb
587,noun
588,verb
589,adj
590,adj
591,noun
592,noun
593,verb
594,adj
595,noun
596,noun
597,adj
598,noun
599,det
600,verb
601,adv
602,noun
603,noun
604,verb
605,verb
606,noun
607,noun
608,noun
609,noun
610,verb
611,verb
612,noun
613,noun
614,verb
615,noun
616,noun
617,noun
618,adj
619,noun
620,verb
621,noun
622,noun
623,noun
624,noun
625,verb
626,adv
627,noun
628,adj
629,noun
630,noun
631,adj
632,verb
633,adj
634,verb
635,noun
636,noun
637,adj
638,adv
639,verb
640,verb
641,adj
642,verb
643,adj
644,adj
645,verb
646,noun
647,verb
648,adj
649,verb
650,pron
651,verb
652,noun
653,verb
654,noun
655,verb
656,noun
657,verb
658,verb
659,noun
660,adj
661,noun
662,adj
663,verb
664,verb
665,noun
666,noun
667,noun
668,noun
669,pron
670,adv
671,noun
672,verb
673,noun
674,verb
675,det
676,adj
677,noun
678,noun
679,noun
680,verb
681,verb
682,adj
683,verb
684,adv
685,noun
686,verb
687,noun
688,adj
689,noun
690,adj
691,noun
692,noun
693,noun
694,noun
695,verb
696,verb
697,adv
698,adj
699,noun
700,adj
701,noun
702,noun
703,adv
704,noun
705,noun
706,noun
707,noun
708,verb
709,noun
710,noun
711,verb
712,noun
713,noun
714,noun
715,noun
716,noun
717,verb
718,verb
719,adv
720,adj
721,noun
722,noun
723,noun
724,verb
725,noun
726,adv
727,noun
728,adv
729,verb
730,verb
731,verb
732,noun
733,verb
734,noun
735,noun
736,noun
737,verb
738,noun
739,noun
740,verb
741,noun
742,noun
743,verb
744,noun
745,noun
746,verb
747,noun
748,verb
749,noun
750,noun
751,noun
752,noun
753,adj
754,pron
755,noun
756,noun
757,noun
758,noun
759,noun
760,noun
761,adv
762,noun
763,noun
764,noun
765,intj
766,noun
767,noun
768,adv
769,noun
770,verb
771,prep
772,verb
773,noun
774,adj
775,verb
776,verb
777,noun
778,verb
779,noun
780,noun
781,noun
782,noun
783,adv
784,verb
785,noun
786,verb
787,noun
788,noun
789,adj
790,adj
791,adj
792,adj
793,noun
794,noun
795,noun
796,adj
797,noun
798,noun
799,verb
800,adj
801,noun
802,noun
803,noun
804,verb
805,verb
806,noun
807,aux
808,adj
809,noun
810,noun
811,noun
812,pron
813,verb
814,noun
815,noun
816,adj
817,verb
818,verb
819,verb
820,noun
821,noun
822,verb
823,verb
824,noun
825,adv
826,verb
827,noun
828,verb
829,adj
830,noun
831,noun
832,noun
833,verb
834,verb
835,noun
836,verb
837,verb
838,noun
839,adj
840,prep
841,adj
842,verb
843,verb
844,verb
845,noun
846,noun
847,adv
848,noun
849,noun
850,verb
851,noun
852,verb
853,noun
854,adj
855,noun
856,noun
857,adj
858,adj
859,noun
860,noun
861,adj
862,noun
863,noun
864,noun
865,verb
866,adj
867,verb
868,noun
869,verb
870,noun
871,adj
872,verb
873,noun
874,noun
875,noun
876,verb
877,verb
878,noun
879,noun
880,verb
881,noun
882,noun
883,noun
884,adj
885,adv
886,adj
887,noun
888,verb
889,adj
890,adj
891,noun
892,adv
893,noun
894,noun
895,noun
896,prep
897,noun
898,noun
899,verb
900,verb
901,adj
902,verb
903,noun
904,noun
905,noun
906,verb
907,noun
908,noun
909,noun
910,adj
911,verb
912,noun
913,adj
914,verb
915,verb
916,noun
917,adj
918,noun
919,noun
920,noun
921,adj
922,adj
923,verb
924,intj
925,verb
926,noun
927,verb
928,noun
929,verb
930,noun
931,noun
932,pron
933,noun
934,verb
935,adj
936,pron
937,noun
938,noun
939,noun
940,noun
941,verb
942,verb
943,noun
944,verb
945,verb
946,adj
947,noun
948,verb
949,verb
950,noun
951,noun
952,noun
953,noun
954,adv
955,noun
956,noun
957,verb
958,verb
959,adv
960,adj
961,noun
962,adj
963,noun
964,noun
965,noun
966,conj
967,noun
968,adv
969,noun
970,noun
971,noun
972,verb
973,adv
974,verb
975,intj
976,noun
977,adj
978,noun
979,noun
980,noun
981,pron
982,noun
983,noun
984,noun
985,noun
986,adv
987,noun
988,verb
989,noun
990,noun
991,adj
992,verb
993,verb
994,pron
995,adv
996,noun
997,noun
998,adj
999,noun
1000,verb
1001,verb
1002,verb
1003,conj
1004,adj
1005,verb
1006,verb
1007,noun
1008,noun
1009,verb
1010,adj
1011,noun
1012,pron
1013,verb
1014,noun
1015,adj
1016,noun
1017,adj
1018,verb
1019,adj
1020,verb
1021,noun
1022,noun
1023,noun
1024,verb
1025,adj
1026,verb
1027,verb
1028,noun
1029,adj
1030,adj
1031,adj
1032,verb
1033,verb
1034,noun
1035,verb
1036,noun
1037,adj
1038,noun
1039,verb
1040,noun
1041,noun
1042,verb
1043,noun
1044,noun
1045,adj
1046,noun
1047,noun
1048,verb
1049,adv
1050,adj
1051,verb
1052,verb
1053,noun
1054,adv
1055,noun
1056,adj
1057,noun
1058,noun
1059,adj
1060,verb
1061,noun
1062,verb
1063,noun
1064,noun
1065,adj
1066,noun
1067,verb
1068,verb
1069,noun
1070,adj
1071,verb
1072,adv
1073,verb
1074,adj
1075,adj
1076,adv
1077,verb
1078,adj
1079,adj
1080,adj
1081,noun
1082,noun
1083,verb
1084,adj
1085,noun
1086,noun
1087,noun
1088,noun
1089,noun
1090,noun
1091,noun
1092,noun
1093,adj
1094,prep
1095,noun
1096,verb
1097,noun
1098,verb
1099,verb
1100,noun
1101,pron
1102,verb
1103,verb
1104,noun
1105,noun
1106,noun
1107,verb
1108,verb
1109,adj
1110,adv
1111,adj
1112,verb
1113,noun
1114,verb
1115,noun
1116,adj
1117,adj
1118,adj
1119,adv
1120,verb
1121,adj
1122,verb
1123,noun
1124,noun
1125,noun
1126,noun
1127,verb
1128,noun
1129,verb
1130,verb
1131,noun
1132,noun
1133,adj
1134,noun
1135,noun
1136,adj
1137,noun
1138,adv
1139,verb
1140,verb
1141,noun
1142,noun
1143,noun
1144,verb
1145,verb
1146,noun
1147,verb
1148,noun
1149,noun
1150,noun
1151,verb
1152,verb
1153,adj
1154,adj
1155,noun
1156,verb
1157,adj
1158,verb
1159,adj
1160,noun
1161,adj
1162,noun
1163,noun
1164,noun
1165,verb
1166,noun
1167,noun
1168,adj
1169,verb
1170,verb
1171,verb
1172,verb
1173,noun
1174,noun
1175,adj
1176,adv
1177,verb
1178,verb
1179,noun
1180,verb
1181,noun
1182,verb
1183,adj
1184,noun
1185,noun
1186,noun
1187,noun
1188,verb
1189,noun
1190,noun
1191,noun
1192,noun
1193,adj
1194,verb
1195,verb
1196,adj
1197,noun
1198,noun
1199,noun
1200,verb
1201,noun
1202,noun
1203,noun
1204,verb
1205,adj
1206,noun
1207,verb
1208,verb
1209,verb
1210,noun
1211,noun
1212,noun
1213,verb
1214,adj
1215,noun
1216,verb
1217,noun
1218,noun
1219,verb
1220,noun
1221,noun
1222,noun
1223,noun
1224,noun
1225,noun
1226,noun
1227,noun
1228,verb
1229,noun
1230,noun
1231,adj
1232,noun
1233,noun
1234,noun
1235,adj
1236,verb
1237,noun
1238,verb
1239,noun
1240,noun
1241,verb
1242,verb
1243,noun
1244,verb
1245,verb
1246,noun
1247,noun
1248,noun
1249,noun
1250,noun
1251,verb
1252,adj
1253,noun
1254,prep
1255,adv
1256,noun
1257,noun
1258,noun
1259,noun
1260,noun
1261,noun
1262,verb
1263,adj
1264,verb
1265,noun
1266,noun
1267,adv
1268,adj
1269,noun
1270,verb
1271,noun
1272,verb
1273,noun
1274,adj
1275,adv
1276,noun
1277,noun
1278,verb
1279,noun
1280,adj
1281,noun
1282,noun
1283,adj
1284,verb
1285,adv
1286,noun
1287,verb
1288,adj
1289,verb
1290,verb
1291,adv
1292,verb
1293,noun
1294,noun
1295,noun
1296,verb
1297,verb
1298,adj
1299,noun
1300,noun
1301,verb
1302,noun
1303,verb
1304,noun
1305,noun
1306,adv
1307,adj
1308,verb
1309,noun
1310,noun
1311,adj
1312,noun
1313,noun
1314,verb
1315,noun
1316,noun
1317,noun
1318,adv
1319,verb
1320,verb
1321,adj
1322,verb
1323,noun
1324,adv
1325,noun
1326,noun
1327,noun
1328,adj
1329,noun
1330,noun
1331,noun
1332,noun
1333,adj
1334,noun
1335,noun
1336,noun
1337,noun
1338,adv
1339,verb
1340,noun
1341,noun
1342,noun
1343,adj
1344,noun
1345,adv
1346,noun
1347,noun
1348,adj
1349,noun
1350,verb
1351,adj
1352,adj
1353,verb
1354,adj
1355,noun
1356,verb
1357,verb
1358,adj
1359,noun
1360,adj
1361,verb
1362,noun
1363,noun
1364,verb
1365,verb
1366,verb
1367,noun
1368,adj
1369,verb
1370,conj
1371,adj
1372,noun
1373,noun
1374,noun
1375,noun
1376,noun
1377,noun
1378,verb
1379,noun
1380,noun
1381,noun
1382,adj
1383,adj
1384,adv
1385,verb
1386,verb
1387,noun
1388,noun
1389,verb
1390,verb
1391,noun
1392,noun
1393,noun
1394,adv
1395,noun
1396,noun
1397,noun
1398,noun
1399,adj
1400,noun
1401,adv
1402,prep
1403,adj
1404,verb
1405,noun
1406,noun
1407,noun
1408,noun
1409,verb
1410,verb
1411,noun
1412,adv
1413,noun
1414,noun
1415,verb
1416,noun
1417,adj
1418,verb
1419,verb
1420,noun
1421,noun
1422,adv
1423,noun
1424,verb
1425,noun
1426,noun
1427,verb
1428,noun
1429,pron
1430,noun
1431,verb
1432,verb
1433,adv
1434,noun
1435,noun
1436,adv
1437,noun
1438,noun
1439,noun
1440,noun
1441,noun
1442,noun
1443,adj
1444,verb
1445,verb
1446,noun
1447,adj
1448,verb
1449,noun
1450,noun
1451,noun
1452,adj
1453,noun
1454,noun
1455,noun
1456,adj
1457,verb
1458,noun
1459,noun
1460,noun
1461,noun
1462,verb
1463,adj
1464,adv
1465,noun
1466,verb
1467,adj
1468,verb
1469,noun
1470,noun
1471,noun
1472,verb
1473,noun
1474,noun
1475,aux
1476,noun
1477,noun
1478,noun
1479,noun
1480,verb
1481,noun
1482,adj
1483,verb
1484,noun
1485,adj
1486,verb
1487,noun
1488,verb
1489,noun
1490,noun
1491,noun
1492,adj
1493,verb
1494,noun
1495,noun
1496,verb
1497,verb
1498,verb
1499,noun
1500,adj
1501,noun
1502,adj
1503,verb
1504,noun
1505,noun
1506,verb
1507,adv
1508,adj
1509,noun
1510,adv
1511,verb
1512,verb
1513,noun
1514,verb
1515,adj
1516,noun
1517,noun
1518,noun
1519,verb
1520,noun
1521,verb
1522,verb
1523,noun
1524,noun
1525,noun
1526,noun
1527,noun
1528,noun
1529,noun
1530,noun
1531,verb
1532,noun
1533,verb
1534,adj
1535,noun
1536,adv
1537,adj
1538,noun
1539,verb
1540,pron
1541,verb
1542,adv
1543,adv
1544,noun
1545,verb
1546,verb
1547,noun
1548,adj
1549,verb
1550,noun
1551,verb
1552,noun
1553,adj
1554,adj
1555,adv
1556,noun
1557,noun
1558,adv
1559,verb
1560,adv
1561,noun
1562,adv
1563,verb
1564,verb
1565,verb
1566,noun
1567,adj
1568,verb
1569,conj
1570,noun
1571,noun
1572,adj
1573,verb
1574,noun
1575,noun
1576,verb
1577,noun
1578,noun
1579,noun
1580,adj
1581,noun
1582,verb
1583,adj
1584,verb
1585,noun
1586,noun
1587,verb
1588,adv
1589,adj
1590,adj
1591,noun
1592,adj
1593,noun
1594,noun
1595,noun
1596,adj
1597,noun
1598,adj
1599,adj
1600,verb
1601,noun
1602,verb
1603,noun
1604,noun
1605,noun
1606,verb
1607,adj
1608,noun
1609,noun
1610,adv
1611,verb
1612,noun
1613,pron
1614,noun
1615,noun
1616,verb
1617,noun
1618,adj
1619,noun
1620,noun
1621,noun
1622,noun
1623,noun
1624,noun
1625,verb
1626,noun
1627,verb
1628,noun
1629,verb
1630,noun
1631,verb
1632,verb
1633,verb
1634,adj
1635,adj
1636,adj
1637,noun
1638,noun
1639,verb
1640,noun
1641,noun
1642,adj
1643,noun
1644,adj
1645,noun
1646,adv
1647,adj
1648,noun
1649,noun
1650,noun
1651,adv
1652,noun
1653,noun
1654,noun
1655,noun
1656,verb
1657,noun
1658,noun
1659,noun
1660,noun
1661,noun
1662,noun
1663,verb
1664,verb
1665,noun
1666,adj
1667,adv
1668,noun
1669,adj
1670,noun
1671,noun
1672,adj
1673,adj
1674,adv
1675,verb
1676,noun
1677,adv
1678,verb
1679,noun
1680,noun
1681,verb
1682,noun
1683,adj
1684,noun
1685,noun
1686,verb
1687,noun
1688,verb
1689,noun
1690,adv
1691,noun
1692,noun
1693,noun
1694,noun
1695,noun
1696,adj
1697,verb
1698,adj
1699,noun
1700,noun
1701,verb
1702,adj
1703,noun
1704,verb
1705,verb
1706,verb
1707,noun
1708,adj
1709,adv
1710,noun
1711,adj
1712,noun
1713,adj
1714,adj
1715,noun
1716,adj
1717,verb
1718,noun
1719,noun
1720,adj
1721,verb
1722,adj
1723,prep
1724,adv
1725,adj
1726,noun
1727,adj
1728,verb
1729,adv
1730,adj
1731,verb
1732,prep
1733,noun
1734,noun
1735,adj
1736,adj
1737,noun
1738,verb
1739,noun
1740,verb
1741,noun
1742,adv
1743,verb
1744,noun
1745,verb
1746,verb
1747,noun
1748,noun
1749,adj
1750,noun
1751,adv
1752,adv
1753,verb
1754,adj
1755,noun
1756,noun
1757,verb
1758,verb
1759,noun
1760,noun
1761,adj
1762,noun
1763,noun
1764,noun
1765,noun
1766,adv
1767,noun
1768,adj
1769,noun
1770,adv
1771,verb
1772,adj
1773,verb
1774,noun
1775,verb
1776,noun
1777,adj
1778,adj
1779,adj
1780,adj
1781,noun
1782,verb
1783,adj
1784,verb
1785,noun
1786,verb
1787,noun
1788,noun
1789,verb
1790,adj
1791,noun
1792,adj
1793,noun
1794,noun
1795,adj
1796,adv
1797,noun
1798,verb
1799,noun
1800,adj
1801,noun
1802,noun
1803,adj
1804,adj
1805,noun
1806,noun
1807,noun
1808,verb
1809,verb
1810,noun
1811,adj
1812,verb
1813,noun
1814,noun
1815,verb
1816,verb
1817,noun
1818,adj
1819,adj
1820,noun
1821,verb
1822,adj
1823,adv
1824,intj
1825,adj
1826,noun
1827,noun
1828,noun
1829,adj
1830,noun
1831,noun
1832,noun
1833,noun
1834,noun
1835,noun
1836,adj
1837,noun
1838,verb
1839,noun
1840,adv
1841,adv
1842,verb
1843,noun
1844,adj
1845,verb
1846,noun
1847,adj
1848,noun
1849,verb
1850,noun
1851,verb
1852,noun
1853,noun
1854,verb
1855,adj
1856,noun
1857,noun
1858,adv
1859,noun
1860,noun
1861,noun
1862,noun
1863,noun
1864,adj
1865,verb
1866,noun
1867,noun
1868,noun
1869,noun
1870,verb
1871,adj
1872,verb
1873,noun
1874,noun
1875,noun
1876,verb
1877,verb
1878,verb
1879,adj
1880,noun
1881,adv
1882,noun
1883,adj
1884,verb
1885,adj
1886,adv
1887,verb
1888,adj
1889,noun
1890,adj
1891,verb
1892,adj
1893,adj
1894,noun
1895,verb
1896,adj
1897,adv
1898,noun
1899,verb
1900,adv
1901,noun
1902,noun
1903,noun
1904,noun
1905,noun
1906,noun
1907,noun
1908,noun
1909,noun
1910,verb
1911,adj
1912,verb
1913,verb
1914,adv
1915,noun
1916,adj
1917,verb
1918,adj
1919,noun
1920,noun
1921,adj
1922,verb
1923,verb
1924,noun
1925,noun
1926,adj
1927,noun
1928,verb
1929,noun
1930,adj
1931,verb
1932,noun
1933,verb
1934,verb
1935,verb
1936,noun
1937,noun
1938,adj
1939,noun
1940,adj
1941,adv
1942,adv
1943,noun
1944,adv
1945,adj
1946,noun
1947,noun
1948,noun
1949,noun
1950,noun
1951,noun
1952,adv
1953,verb
1954,noun
1955,noun
1956,verb
1957,verb
1958,noun
1959,adj
1960,noun
1961,adj
1962,adj
1963,verb
1964,noun
1965,noun
1966,adv
1967,adj
1968,noun
1969,noun
1970,verb
1971,noun
1972,verb
1973,adj
1974,verb
1975,adj
1976,noun
1977,noun
1978,verb
1979,noun
1980,verb
1981,adj
1982,noun
1983,noun
1984,noun
1985,noun
1986,noun
1987,noun
1988,noun
1989,noun
1990,noun
1991,verb
1992,noun
1993,noun
1994,verb
1995,adj
1996,verb
1997,noun
1998,adj
1999,noun
2000,verb
2001,verb
2002,noun
2003,noun
2004,adv
2005,noun
2006,noun
2007,noun
2008,noun
2009,noun
2010,adv
2011,noun
2012,noun
2013,noun
2014,noun
2015,noun
2016,adv
2017,noun
2018,adv
2019,noun
2020,noun
2021,adj
2022,noun
2023,adj
2024,noun
2025,noun
2026,noun
2027,noun
2028,noun
2029,noun
2030,noun
2031,noun
2032,noun
2033,adj
2034,verb
2035,adj
2036,noun
2037,adv
2038,noun
2039,noun
2040,adj
2041,noun
2042,noun
2043,noun
2044,verb
2045,verb
2046,noun
2047,adj
2048,adj
2049,noun
2050,adv
2051,verb
2052,noun
2053,noun
2054,noun
2055,noun
2056,noun
2057,noun
2058,noun
2059,noun
2060,noun
2061,noun
2062,verb
2063,noun
2064,noun
2065,noun
2066,verb
2067,adj
2068,verb
2069,noun
2070,adv
2071,noun
2072,noun
2073,noun
2074,noun
2075,adj
2076,adj
2077,verb
2078,verb
2079,noun
2080,verb
2081,adj
2082,adj
2083,adj
2084,noun
2085,verb
2086,verb
2087,noun
2088,noun
2089,verb
2090,verb
2091,adj
2092,adv
2093,noun
2094,noun
2095,noun
2096,adj
2097,verb
2098,verb
2099,noun
2100,verb
2101,verb
2102,noun
2103,verb
2104,verb
2105,adv
2106,noun
2107,noun
2108,verb
2109,adj
2110,noun
2111,noun
2112,noun
2113,prep
2114,verb
2115,noun
2116,noun
2117,adv
2118,verb
2119,noun
2120,verb
2121,adj
2122,verb
2123,adj
2124,adj
2125,adv
2126,noun
2127,adj
2128,verb
2129,noun
2130,noun
2131,noun
2132,verb
2133,verb
2134,verb
2135,noun
2136,noun
2137,verb
2138,verb
2139,noun
2140,noun
2141,adv
2142,noun
2143,noun
2144,adv
2145,noun
2146,noun
2147,adv
2148,noun
2149,adj
2150,adj
2151,noun
2152,adv
2153,noun
2154,verb
2155,adv
2156,adj
2157,noun
2158,noun
2159,noun
2160,verb
2161,verb
2162,noun
2163,noun
2164,noun
2165,noun
2166,noun
2167,noun
2168,noun
2169,noun
2170,noun
2171,noun
2172,verb
2173,noun
2174,noun
2175,noun
2176,noun
2177,noun
2178,noun
2179,noun
2180,noun
2181,noun
2182,noun
2183,adj
2184,noun
2185,noun
2186,adv
2187,noun
2188,adj
2189,adj
2190,noun
2191,noun
2192,noun
2193,noun
2194,verb
2195,verb
2196,verb
2197,adj
2198,adj
2199,noun
2200,noun
2201,verb
2202,noun
2203,noun
2204,adj
2205,verb
2206,verb
2207,adj
2208,adv
2209,noun
2210,adj
2211,noun
2212,noun
2213,noun
2214,noun
2215,noun
2216,adj
2217,noun
2218,noun
2219,noun
2220,verb
2221,noun
2222,noun
2223,noun
2224,noun
2225,adj
2226,noun
2227,noun
2228,noun
2229,adj
2230,verb
2231,noun
2232,noun
2233,adj
2234,verb
2235,verb
2236,adj
2237,noun
2238,verb
2239,adj
2240,noun
2241,verb
2242,noun
2243,noun
2244,adj
2245,adv
2246,verb
2247,adj
2248,noun
2249,adj
2250,noun
2251,noun
2252,noun
2253,adj
2254,noun
2255,adv
2256,noun
2257,noun
2258,verb
2259,noun
2260,noun
2261,adj
2262,adj
2263,adj
2264,noun
2265,noun
2266,verb
2267,adj
2268,adv
2269,noun
2270,verb
2271,verb
2272,noun
2273,noun
2274,adj
2275,verb
2276,adv
2277,adj
2278,noun
2279,verb
2280,noun
2281,adj
2282,noun
2283,noun
2284,verb
2285,noun
2286,noun
2287,adv
2288,noun
2289,noun
2290,noun
2291,noun
2292,noun
2293,noun
2294,verb
2295,verb
2296,noun
2297,noun
2298,noun
2299,verb
2300,noun
2301,verb
2302,verb
2303,verb
2304,noun
2305,noun
2306,adj
2307,adj
2308,verb
2309,verb
2310,noun
2311,noun
2312,adj
2313,adv
2314,verb
2315,noun
2316,noun
2317,adj
2318,noun
